time-hour stock-price avg-price-3-min avg-price-5-min average-volume current-volume number-of-stocks portfolio-value 
889 194.7 194.685 194.67600000000002 622.6666666666666 100 0 29998.5
890 194.7 194.6975 194.686 325.6666666666667 309 0 29998.5
891 194.67 194.685 194.682 365.0 686 0 29998.5
892 194.66 194.6725 194.68400000000003 600.0 805 0 29998.5
893 194.65 194.6575 194.676 634.0 411 0 29998.5
894 194.63 194.64249999999998 194.66199999999998 451.0 137 0 29998.5
895 194.78 194.70999999999998 194.678 494.0 934 0 29998.5
896 194.74 194.7225 194.69200000000004 666.6666666666666 929 25 29998.5
897 194.82 194.79 194.72400000000002 1049.0 1284 50 30000.5
898 194.76 194.76999999999998 194.746 837.6666666666666 300 50 29997.5
899 194.79 194.79 194.778 654.6666666666666 380 50 29999.0
900 194.79 194.79 194.778 654.6666666666666 380 50 29999.0
901 194.72 194.7475 194.76600000000002 369.6666666666667 429 0 29995.5
902 194.56 194.6575 194.73 575.0 916 0 29995.5
903 194.66 194.64999999999998 194.69800000000004 1235.3333333333333 2361 0 29995.5
904 194.67 194.64 194.68 3652.6666666666665 7681 0 29995.5
905 194.63 194.64749999999998 194.64800000000002 3628.3333333333335 843 0 29995.5
906 194.54 194.59499999999997 194.61200000000002 3280.0 1316 0 29995.5
907 194.52 194.5525 194.60399999999998 963.0 730 0 29995.5
908 194.5 194.515 194.572 2080.0 4194 0 29995.5
909 194.5 194.505 194.538 2038.3333333333333 1191 0 29995.5
910 194.59 194.54500000000002 194.53000000000003 1961.6666666666667 500 0 29995.5
911 194.55 194.5475 194.532 1131.0 1702 25 29995.5
912 194.59 194.57999999999998 194.54600000000002 1034.0 900 25 29996.5
913 194.53 194.55 194.55200000000002 1034.0 500 25 29995.0
914 194.46 194.51 194.544 1133.3333333333333 2000 25 29993.25
915 194.27 194.3825 194.48000000000002 2269.6666666666665 4309 0 29988.5
916 194.24 194.3025 194.41800000000003 2822.6666666666665 2159 0 29988.5
917 194.32 194.2875 194.36400000000003 2311.6666666666665 467 0 29988.5
918 194.275 194.2775 194.31300000000005 1142.6666666666667 802 0 29988.5
919 194.22 194.25875000000002 194.26500000000001 656.3333333333334 700 0 29988.5
920 194.23 194.23874999999998 194.25700000000003 1865.6666666666667 4095 0 29988.5
921 194.24 194.23250000000002 194.25700000000003 1806.3333333333333 624 0 29988.5
922 194.16 194.1975 194.22500000000002 1756.3333333333333 550 0 29988.5
923 194.25 194.225 194.22 3820.0 10286 0 29988.5
924 194.37 194.2875 194.25 3891.6666666666665 839 0 29988.5
925 194.43 194.37 194.29 5041.666666666667 4000 0 29988.5
926 194.29 194.345 194.3 1881.6666666666667 806 0 29988.5
927 194.3 194.33 194.32800000000003 2590.0 2964 0 29988.5
928 194.36 194.32750000000001 194.35000000000002 1664.3333333333333 1223 0 29988.5
929 194.4 194.365 194.35600000000002 1708.0 937 0 29988.5
930 194.39 194.385 194.348 1520.6666666666667 2402 0 29988.5
931 194.425 194.41 194.375 1886.0 2319 25 29988.5
932 194.39 194.39875 194.39300000000003 2834.3333333333335 3782 50 29987.625
933 194.41 194.40875 194.40300000000002 3056.0 3067 75 29988.625
934 194.47 194.435 194.41700000000003 2481.0 594 75 29993.125
935 194.47 194.45499999999998 194.43300000000002 1753.6666666666667 1600 75 29993.125
936 194.33 194.4 194.41400000000002 1532.6666666666667 2404 100 29982.625
937 194.43 194.41500000000002 194.42200000000003 1803.6666666666667 1407 100 29992.625
938 194.38 194.38 194.41600000000003 1803.6666666666667 1600 100 29987.625
939 194.325 194.365 194.38700000000003 2029.0 3080 0 29982.125
940 194.34 194.34625 194.36100000000002 2099.0 1617 0 29982.125
941 194.335 194.33375 194.36200000000002 2975.0 4228 0 29982.125
942 194.275 194.30625 194.33100000000002 2423.3333333333335 1425 0 29982.125
943 194.23 194.26749999999998 194.30100000000002 2610.3333333333335 2178 0 29982.125
944 194.2 194.22625 194.27600000000004 1697.0 1488 0 29982.125
945 194.17 194.1925 194.24200000000002 2157.0 2805 0 29982.125
946 194.09 194.1375 194.193 2355.6666666666665 2774 0 29982.125
947 194.01 194.07 194.14000000000001 3346.6666666666665 4461 0 29982.125
948 193.91 193.98000000000002 194.07600000000002 3117.0 2116 0 29982.125
949 193.83 193.89499999999998 194.002 3820.3333333333335 4884 0 29982.125
950 193.83 193.89499999999998 194.002 3820.3333333333335 4884 0 29982.125
951 193.81 193.84 193.93 5466.666666666667 9400 0 29982.125
952 193.92 193.87 193.89600000000002 5293.0 1595 0 29982.125
953 194.1 193.98250000000002 193.914 6261.333333333333 7789 0 29982.125
954 194.13 194.07 193.958 5731.333333333333 7810 25 29982.125
955 193.81 193.9625 193.95399999999998 7994.666666666667 8385 50 29974.125
956 193.77 193.87 193.94600000000003 8410.666666666666 9037 50 29972.125
957 193.86 193.82500000000002 193.93400000000003 7690.666666666667 5650 50 29976.625
958 193.97 193.89249999999998 193.90800000000002 8822.666666666666 11781 0 29982.125
